url,username,password,input_text,targetYear,targetMonth,targetDay
https://www.saucedemo.com/,standard_user,secret_sauce,,,,
https://www.saucedemo.com/,problem_user,secret_sauce,,,,
http://www.google.com,,,selenium,,,
https://playwright.dev/,,,Parameterize tests,,,
https://testautomationpractice.blogspot.com/,,,,,,
https://practice.expandtesting.com/dynamic-table,,,,,,
https://practice.expandtesting.com/dynamic-pagination-table,,,,,,
https://jqueryui.com/datepicker/,,,,2025,December,25
https://demoqa.com/menu,,,,,,
https://the-internet.herokuapp.com/key_presses,,,,,,
https://demoqa.com/text-box,,,vikas,,,
https://the-internet.herokuapp.com/horizontal_slider,,,Hello Selenium Keyboard Actions,,,
https://the-internet.herokuapp.com/windows,,,,,,
https://demo.automationtesting.in/Windows.html,,,,,,
https://the-internet.herokuapp.com/javascript_alerts,,,,,,
https://the-internet.herokuapp.com/infinite_scroll,,,,,,
https://the-internet.herokuapp.com/upload,,,,,,
https://the-internet.herokuapp.com/broken_images,,,,,,
https://www.amcharts.com/svg-maps/,,,,,,
https://books-pwakit.appspot.com/,,,,,,
